日期	收盘	开盘	高	低	交易量	涨跌幅
2020年10月27日	"13,685.00"	"13,050.00"	"13,780.00"	"13,025.00"	9.03K	4.91%
2020年10月28日	"13,175.00"	"13,680.00"	"13,870.00"	"12,885.00"	10.75K	-3.73%
2020年10月29日	"13,505.00"	"13,200.00"	"13,665.00"	"12,995.00"	6.88K	2.50%
2020年10月30日	"13,478.60"	"13,530.00"	"13,660.00"	"13,150.00"	0.63K	-0.20%
2020年11月1日	"13,965.00"	"13,905.00"	"13,990.00"	"13,747.50"	-	3.61%
2020年11月2日	"13,790.00"	"13,955.00"	"14,065.00"	"13,370.00"	5.04K	-1.25%
2020年11月3日	"13,845.00"	"13,730.00"	"13,950.00"	"13,390.00"	3.73K	0.40%
2020年11月4日	"14,200.00"	"13,925.00"	"14,420.00"	"13,635.00"	9.53K	2.56%
2020年11月5日	"15,260.00"	"14,165.00"	"15,505.00"	"14,165.00"	7.46K	7.46%
2020年11月6日	"15,630.00"	"15,685.00"	"16,155.00"	"15,350.00"	8.14K	2.42%
2020年11月8日	"15,650.00"	"15,647.50"	"15,720.00"	"15,512.50"	-	0.13%
2020年11月9日	"15,450.00"	"15,665.00"	"16,005.00"	"14,880.00"	12.35K	-1.28%
2020年11月10日	"15,355.00"	"15,435.00"	"15,595.00"	"15,130.00"	5.97K	-0.61%
2020年11月11日	"15,805.00"	"15,450.00"	"16,090.00"	"15,350.00"	6.20K	2.93%
2020年11月12日	"16,240.00"	"16,000.00"	"16,300.00"	"15,520.00"	6.41K	2.75%
2020年11月13日	"16,270.00"	"16,350.00"	"16,585.00"	"16,025.00"	4.06K	0.18%
2020年11月15日	"16,027.50"	"16,405.00"	"16,405.00"	"16,005.00"	-	-1.49%
2020年11月16日	"16,895.00"	"16,035.00"	"16,935.00"	"15,915.00"	5.40K	5.41%
2020年11月17日	"17,730.00"	"16,795.00"	"17,930.00"	"16,620.00"	9.41K	4.94%
2020年11月18日	"17,685.00"	"17,675.00"	"18,540.00"	"17,235.00"	12.93K	-0.25%
2020年11月19日	"18,095.00"	"17,905.00"	"18,260.00"	"17,375.00"	6.74K	2.32%
2020年11月20日	"18,685.00"	"17,910.00"	"18,880.00"	"17,740.00"	9.87K	3.26%
2020年11月22日	"18,485.00"	"18,625.00"	"18,750.00"	"18,450.00"	-	-1.07%
2020年11月23日	"18,410.00"	"18,625.00"	"18,850.00"	"18,040.00"	12.52K	-0.41%
2020年11月24日	"19,110.00"	"18,455.00"	"19,515.00"	"18,075.00"	14.15K	3.80%
2020年11月25日	"18,915.00"	"19,135.00"	"19,605.00"	"18,640.00"	12.22K	-1.02%
2020年11月26日	"17,140.00"	"18,745.00"	"18,937.50"	"16,230.00"	-	-9.38%
2020年11月27日	"16,627.50"	"18,865.00"	"18,935.00"	"16,230.00"	7.86K	-2.99%
2020年11月29日	"18,420.00"	"18,430.00"	"18,477.50"	"18,350.00"	-	10.78%
2020年11月30日	"19,730.00"	"18,275.00"	"20,260.00"	"18,275.00"	12.03K	7.11%
2020年12月1日	"19,275.00"	"19,800.00"	"20,360.00"	"18,300.00"	13.56K	-2.31%
2020年12月2日	"19,295.00"	"19,155.00"	"19,585.00"	"18,560.00"	7.99K	0.10%
2020年12月3日	"19,565.00"	"19,340.00"	"19,880.00"	"19,070.00"	7.20K	1.40%
2020年12月4日	"19,100.00"	"19,680.00"	"19,750.00"	"18,830.00"	7.57K	-2.38%
2020年12月6日	"19,550.00"	"19,052.50"	"19,607.50"	"18,910.00"	-	2.36%
2020年12月7日	"19,170.00"	"19,205.00"	"19,615.00"	"19,020.00"	5.21K	-1.94%
2020年12月8日	"18,825.00"	"19,215.00"	"19,475.00"	"18,695.00"	7.33K	-1.80%
2020年12月9日	"18,420.00"	"18,685.00"	"18,685.00"	"17,705.00"	6.75K	-2.15%
2020年12月10日	"18,440.00"	"18,630.00"	"18,750.00"	"17,940.00"	6.95K	0.11%
2020年12月11日	"18,020.00"	"18,415.00"	"18,460.00"	"17,575.00"	6.06K	-2.28%
2020年12月13日	"19,250.00"	"18,285.00"	"19,335.00"	"18,135.00"	-	6.83%
2020年12月14日	"19,270.00"	"19,155.00"	"19,430.00"	"19,080.00"	6.12K	0.10%
2020年12月15日	"19,560.00"	"19,340.00"	"19,675.00"	"19,120.00"	5.82K	1.50%
2020年12月16日	"20,930.00"	"19,505.00"	"21,430.00"	"19,340.00"	12.92K	7.00%
2020年12月17日	"22,870.00"	"21,460.00"	"23,915.00"	"21,320.00"	16.83K	9.27%
2020年12月18日	"22,860.00"	"23,050.00"	"23,415.00"	"22,435.00"	7.11K	-0.04%
2020年12月20日	"23,532.50"	"23,297.50"	"23,667.50"	"22,915.00"	-	2.94%
2020年12月21日	"22,880.00"	"23,605.00"	"24,210.00"	"21,950.00"	12.96K	-2.77%
2020年12月22日	"23,445.00"	"23,260.00"	"23,645.00"	"22,430.00"	11.08K	2.47%
2020年12月23日	"23,510.00"	"23,495.00"	"24,175.00"	"22,800.00"	6.88K	0.28%
2020年12月24日	"23,196.70"	"23,250.00"	"23,475.00"	"22,715.00"	0.98K	-1.33%
2020年12月27日	"26,675.00"	"23,650.00"	"27,122.50"	"23,650.00"	-	14.99%
2020年12月28日	"27,110.00"	"26,650.00"	"27,900.00"	"26,535.00"	17.47K	1.63%
2020年12月29日	"27,210.00"	"26,955.00"	"27,450.00"	"26,080.00"	7.63K	0.37%
2020年12月30日	"29,155.00"	"27,315.00"	"29,370.00"	"27,235.00"	13.79K	7.15%
2020年12月31日	"29,385.00"	"29,075.00"	"29,700.00"	"28,230.00"	5.53K	0.79%
2021年1月1日	"29,220.00"	"29,220.00"	"29,220.00"	"29,220.00"	-	-0.56%
2021年1月3日	"33,465.00"	"29,197.50"	"34,095.00"	"29,197.50"	-	14.53%
2021年1月4日	"31,550.00"	"33,405.00"	"34,170.00"	"28,440.00"	15.00K	-5.72%
2021年1月5日	"34,515.00"	"31,655.00"	"34,680.00"	"30,250.00"	8.15K	9.40%
2021年1月6日	"36,565.00"	"34,655.00"	"37,035.00"	"33,780.00"	19.47K	5.94%
2021年1月7日	"39,625.00"	"36,445.00"	"41,000.00"	"36,445.00"	16.83K	8.37%
2021年1月8日	"39,520.00"	"40,275.00"	"42,730.00"	"37,000.00"	15.38K	-0.26%
2021年1月10日	"38,650.00"	"40,350.00"	"40,350.00"	"38,422.50"	-	-2.20%
2021年1月11日	"33,780.00"	"38,925.00"	"39,165.00"	"31,105.00"	22.21K	-12.60%
2021年1月12日	"34,500.00"	"34,840.00"	"37,050.00"	"32,780.00"	14.58K	2.13%
2021年1月13日	"36,375.00"	"34,055.00"	"37,580.00"	"32,610.00"	9.79K	5.43%
2021年1月14日	"39,605.00"	"37,500.00"	"40,365.00"	"36,915.00"	10.51K	8.88%
2021年1月15日	"35,625.00"	"39,205.00"	"39,980.00"	"34,555.00"	14.05K	-10.05%
2021年1月17日	"35,915.00"	"36,425.00"	"36,565.00"	"35,765.00"	-	0.81%
2021年1月18日	"36,775.00"	"35,915.00"	"37,637.50"	"34,875.00"	-	2.39%
2021年1月19日	"36,595.00"	"36,250.00"	"38,155.00"	"34,890.00"	14.76K	-0.49%
2021年1月20日	"35,035.00"	"36,700.00"	"36,845.00"	"33,435.00"	9.62K	-4.26%
2021年1月21日	"31,920.00"	"35,200.00"	"35,740.00"	"30,930.00"	13.37K	-8.89%
2021年1月22日	"33,580.00"	"30,825.00"	"33,860.00"	"28,900.00"	12.90K	5.20%
2021年1月24日	"32,680.00"	"33,617.50"	"33,617.50"	"32,420.00"	-	-2.68%
2021年1月25日	"33,440.00"	"32,300.00"	"34,930.00"	"32,035.00"	8.77K	2.33%
2021年1月26日	"31,950.00"	"32,665.00"	"32,845.00"	"30,800.00"	8.49K	-4.46%
2021年1月27日	"31,475.00"	"32,655.00"	"32,925.00"	"29,075.00"	13.65K	-1.49%
2021年1月28日	"32,650.00"	"30,640.00"	"33,355.00"	"29,860.00"	7.27K	3.73%
2021年1月29日	"37,242.30"	"33,515.00"	"38,755.00"	"32,000.00"	-	14.07%
2021年1月31日	"33,342.50"	"34,232.50"	"34,330.00"	"33,060.00"	-	-10.47%
2021年2月1日	"34,000.00"	"33,315.00"	"35,005.00"	"32,530.00"	6.29K	1.97%
2021年2月2日	"36,170.00"	"33,680.00"	"36,370.00"	"33,605.00"	5.83K	6.38%
2021年2月3日	"37,390.00"	"36,015.00"	"37,790.00"	"35,740.00"	4.81K	3.37%
2021年2月4日	"37,915.00"	"37,660.00"	"39,200.00"	"36,435.00"	6.04K	1.40%
2021年2月5日	"38,015.00"	"37,700.00"	"38,755.00"	"36,895.00"	4.77K	0.26%
2021年2月7日	"39,197.50"	"37,875.00"	"39,457.50"	"37,875.00"	-	3.11%
2021年2月8日	"44,755.00"	"39,025.00"	"45,500.00"	"38,305.00"	14.37K	14.18%
2021年2月9日	"47,765.00"	"45,210.00"	"48,885.00"	"45,175.00"	11.11K	6.73%
2021年2月10日	"44,915.00"	"47,500.00"	"48,060.00"	"43,950.00"	9.74K	-5.97%
2021年2月11日	"47,525.00"	"45,615.00"	"49,215.00"	"44,345.00"	9.07K	5.81%
2021年2月12日	"48,040.00"	"48,000.00"	"49,500.00"	"46,500.00"	7.53K	1.08%
2021年2月14日	"49,007.50"	"48,440.00"	"49,492.50"	"48,440.00"	-	2.01%
2021年2月15日	"48,287.50"	"49,000.00"	"49,490.00"	"46,005.00"	-	-1.47%
2021年2月16日	"48,925.00"	"49,415.00"	"51,065.00"	"45,950.00"	15.41K	1.32%
2021年2月17日	"52,785.00"	"49,300.00"	"53,210.00"	"49,115.00"	9.78K	7.89%
2021年2月18日	"52,340.00"	"52,680.00"	"53,080.00"	"51,250.00"	8.34K	-0.84%
2021年2月19日	"55,530.00"	"52,035.00"	"56,575.00"	"50,695.00"	11.46K	6.09%
2021年2月21日	"58,520.00"	"57,920.00"	"58,580.00"	"57,920.00"	-	5.38%
2021年2月22日	"53,720.00"	"57,450.00"	"57,790.00"	"48,320.00"	18.52K	-8.20%
2021年2月23日	"47,660.00"	"54,515.00"	"54,515.00"	"44,900.00"	18.21K	-11.28%
2021年2月24日	"49,135.00"	"48,450.00"	"51,310.00"	"47,010.00"	8.08K	3.09%
2021年2月25日	"49,120.00"	"48,810.00"	"52,040.00"	"48,010.00"	7.07K	-0.03%
2021年2月26日	"47,001.60"	"48,165.00"	"48,300.00"	"44,270.00"	0.75K	-4.31%
2021年2月28日	"45,522.50"	"45,700.00"	"46,125.00"	"45,160.00"	-	-3.15%
2021年3月1日	"48,870.00"	"45,500.00"	"49,985.00"	"45,150.00"	7.20K	7.35%
2021年3月2日	"47,820.00"	"49,425.00"	"50,550.00"	"47,245.00"	5.99K	-2.15%
2021年3月3日	"50,900.00"	"48,035.00"	"53,000.00"	"47,955.00"	6.34K	6.44%
2021年3月4日	"48,310.00"	"50,970.00"	"52,190.00"	"47,425.00"	11.80K	-5.09%
2021年3月5日	"49,555.00"	"48,125.00"	"49,745.00"	"46,295.00"	8.93K	2.58%
2021年3月7日	"51,430.00"	"49,372.50"	"51,957.50"	"49,372.50"	-	3.78%
2021年3月8日	"52,145.00"	"50,580.00"	"52,425.00"	"49,500.00"	7.53K	1.39%
2021年3月9日	"54,720.00"	"51,995.00"	"55,265.00"	"51,895.00"	5.57K	4.94%
2021年3月10日	"56,620.00"	"54,530.00"	"57,815.00"	"53,430.00"	7.10K	3.47%
2021年3月11日	"57,955.00"	"56,980.00"	"58,390.00"	"54,685.00"	7.79K	2.36%
2021年3月12日	"57,075.00"	"58,365.00"	"58,725.00"	"55,380.00"	7.97K	-1.52%
2021年3月14日	"59,550.00"	"57,180.00"	"61,252.50"	"57,180.00"	-	4.34%
2021年3月15日	"56,900.00"	"58,755.00"	"61,255.00"	"54,915.00"	10.37K	-4.45%
2021年3月16日	"55,910.00"	"57,005.00"	"57,175.00"	"53,475.00"	7.10K	-1.74%
2021年3月17日	"57,980.00"	"56,695.00"	"58,490.00"	"54,285.00"	7.70K	3.70%
2021年3月18日	"57,365.00"	"58,500.00"	"60,280.00"	"57,090.00"	9.66K	-1.06%
2021年3月19日	"58,975.00"	"57,950.00"	"59,575.00"	"56,315.00"	6.55K	2.81%
2021年3月21日	"57,405.00"	"58,470.00"	"58,470.00"	"57,280.00"	-	-2.66%
2021年3月22日	"55,605.00"	"58,195.00"	"58,460.00"	"54,105.00"	7.20K	-3.14%
2021年3月23日	"54,985.00"	"54,665.00"	"55,895.00"	"52,915.00"	8.66K	-1.12%
2021年3月24日	"54,645.00"	"54,580.00"	"57,225.00"	"53,135.00"	8.67K	-0.62%
2021年3月25日	"52,195.00"	"53,665.00"	"53,665.00"	"50,360.00"	11.14K	-4.48%
2021年3月26日	"53,346.30"	"52,425.00"	"53,765.00"	"51,305.00"	-	2.21%
2021年3月28日	"56,200.00"	"53,887.50"	"56,320.00"	"53,887.50"	-	5.35%
2021年3月29日	"58,210.00"	"55,360.00"	"59,000.00"	"55,110.00"	7.08K	3.58%
2021年3月30日	"59,705.00"	"57,940.00"	"60,065.00"	"57,585.00"	4.63K	2.57%
2021年3月31日	"59,285.00"	"59,360.00"	"60,540.00"	"57,380.00"	6.92K	-0.70%
2021年4月1日	"59,615.00"	"59,580.00"	"60,345.00"	"58,595.00"	4.33K	0.56%
2021年4月2日	"59,615.00"	"59,455.00"	"61,000.00"	"59,110.00"	2.18K	0.00%
2021年4月4日	"58,855.00"	"59,500.00"	"60,000.00"	"58,470.00"	-	-1.27%
2021年4月5日	"59,840.00"	"58,550.00"	"60,100.00"	"57,155.00"	5.91K	1.67%
2021年4月6日	"58,735.00"	"59,415.00"	"60,350.00"	"57,750.00"	5.27K	-1.85%
2021年4月7日	"56,310.00"	"58,300.00"	"59,080.00"	"55,675.00"	11.42K	-4.13%
2021年4月8日	"58,155.00"	"56,310.00"	"58,655.00"	"55,910.00"	4.61K	3.28%
2021年4月9日	"58,760.00"	"58,010.00"	"59,405.00"	"58,000.00"	3.95K	1.04%
2021年4月11日	"60,525.00"	"58,997.50"	"60,660.00"	"58,757.50"	-	3.00%
2021年4月12日	"60,545.00"	"60,000.00"	"61,945.00"	"59,915.00"	6.63K	0.03%
2021年4月13日	"63,685.00"	"60,500.00"	"64,450.00"	"60,300.00"	7.15K	5.19%
2021年4月14日	"62,400.00"	"63,885.00"	"65,520.00"	"61,565.00"	8.43K	-2.02%
2021年4月15日	"63,840.00"	"62,795.00"	"64,030.00"	"62,375.00"	4.89K	2.31%
2021年4月16日	"61,980.00"	"63,765.00"	"64,000.00"	"60,165.00"	6.63K	-2.91%
2021年4月18日	"56,390.00"	"61,490.00"	"61,490.00"	"56,135.00"	-	-9.02%
2021年4月19日	"56,045.00"	"57,120.00"	"57,750.00"	"54,450.00"	10.37K	-0.61%
2021年4月20日	"56,715.00"	"56,335.00"	"57,155.00"	"53,430.00"	9.19K	1.20%
2021年4月21日	"55,610.00"	"56,900.00"	"57,160.00"	"54,325.00"	5.86K	-1.95%
2021年4月22日	"52,860.00"	"54,825.00"	"55,645.00"	"51,365.00"	13.16K	-4.95%
2021年4月23日	"50,845.00"	"51,505.00"	"52,150.00"	"47,395.00"	10.38K	-3.81%
2021年4月25日	"49,145.00"	"51,312.50"	"51,312.50"	"47,677.50"	-	-3.34%
2021年4月26日	"54,070.00"	"47,440.00"	"54,410.00"	"47,440.00"	8.34K	10.02%
2021年4月27日	"54,790.00"	"53,370.00"	"55,420.00"	"52,925.00"	5.14K	1.33%
2021年4月28日	"55,410.00"	"55,265.00"	"56,500.00"	"53,905.00"	6.40K	1.13%
2021年4月29日	"52,900.00"	"54,725.00"	"55,205.00"	"52,335.00"	5.60K	-4.53%
2021年4月30日	"56,995.00"	"53,710.00"	"57,507.50"	"53,175.00"	-	7.74%
2021年5月2日	"56,780.00"	"56,960.00"	"57,000.00"	"56,395.00"	-	-0.38%
2021年5月3日	"57,765.00"	"56,985.00"	"59,305.00"	"56,380.00"	5.62K	1.73%
2021年5月4日	"54,515.00"	"57,390.00"	"57,755.00"	"53,220.00"	8.07K	-5.63%
2021年5月5日	"57,295.00"	"54,365.00"	"58,110.00"	"52,830.00"	6.06K	5.10%
2021年5月6日	"56,180.00"	"56,950.00"	"58,600.00"	"55,255.00"	5.93K	-1.95%
2021年5月7日	"57,760.00"	"56,350.00"	"58,845.00"	"55,340.00"	4.97K	2.81%
2021年5月9日	"58,330.00"	"57,925.00"	"58,572.50"	"57,772.50"	-	0.99%
2021年5月10日	"55,705.00"	"58,200.00"	"59,900.00"	"53,595.00"	7.95K	-4.50%
2021年5月11日	"56,805.00"	"55,690.00"	"57,075.00"	"54,375.00"	5.35K	1.97%
2021年5月12日	"54,445.00"	"56,735.00"	"58,140.00"	"53,355.00"	8.67K	-4.15%
2021年5月13日	"48,365.00"	"54,545.00"	"54,605.00"	"46,395.00"	14.81K	-11.17%
2021年5月14日	"50,190.00"	"49,215.00"	"51,475.00"	"48,370.00"	5.43K	3.77%
2021年5月16日	"46,455.00"	"49,350.00"	"49,350.00"	"45,067.50"	-	-7.44%
2021年5月17日	"44,060.00"	"45,295.00"	"46,620.00"	"42,050.00"	11.15K	-5.16%
2021年5月18日	"43,150.00"	"43,500.00"	"45,755.00"	"42,280.00"	8.31K	-2.07%
2021年5月19日	"39,340.00"	"42,915.00"	"43,530.00"	"30,205.00"	26.73K	-8.83%
2021年5月20日	"40,320.00"	"38,925.00"	"42,420.00"	"34,950.00"	13.39K	2.49%
2021年5月21日	"36,085.00"	"40,720.00"	"42,370.00"	"35,135.00"	12.91K	-10.50%
2021年5月23日	"34,792.50"	"35,395.00"	"35,395.00"	"33,720.00"	-	-3.58%
2021年5月24日	"39,750.00"	"34,280.00"	"39,950.00"	"33,720.00"	10.87K	14.25%
2021年5月25日	"37,330.00"	"38,540.00"	"39,885.00"	"36,555.00"	8.77K	-6.09%
2021年5月26日	"38,545.00"	"38,055.00"	"40,895.00"	"37,875.00"	9.28K	3.25%
2021年5月27日	"38,845.00"	"39,025.00"	"40,435.00"	"37,270.00"	6.24K	0.78%
2021年5月28日	"36,841.40"	"38,800.00"	"39,180.00"	"35,160.00"	0.52K	-5.16%
2021年5月30日	"35,635.00"	"35,295.00"	"36,142.50"	"35,295.00"	-	-3.27%
2021年5月31日	"37,425.00"	"35,647.50"	"37,592.50"	"34,232.50"	-	5.02%
2021年6月1日	"35,990.00"	"35,905.00"	"37,985.00"	"34,250.00"	8.10K	-3.83%
2021年6月2日	"38,040.00"	"36,205.00"	"38,340.00"	"35,940.00"	4.03K	5.70%
2021年6月3日	"38,715.00"	"37,835.00"	"39,560.00"	"37,255.00"	4.31K	1.77%
2021年6月4日	"36,955.00"	"38,840.00"	"39,330.00"	"35,590.00"	8.16K	-4.55%
2021年6月6日	"36,005.00"	"37,092.50"	"37,092.50"	"35,360.00"	-	-2.57%
2021年6月7日	"35,645.00"	"36,205.00"	"37,015.00"	"34,000.00"	6.68K	-1.00%
2021年6月8日	"32,910.00"	"34,130.00"	"34,295.00"	"30,915.00"	11.21K	-7.67%
2021年6月9日	"36,375.00"	"33,485.00"	"36,945.00"	"32,420.00"	8.45K	10.53%
2021年6月10日	"36,690.00"	"36,610.00"	"38,460.00"	"35,815.00"	6.68K	0.87%
2021年6月11日	"37,325.00"	"36,725.00"	"37,700.00"	"35,955.00"	3.33K	1.73%
2021年6月13日	"38,985.00"	"37,000.00"	"39,135.00"	"37,000.00"	-	4.45%
2021年6月14日	"39,710.00"	"38,900.00"	"41,070.00"	"38,705.00"	5.94K	1.86%
2021年6月15日	"39,995.00"	"40,250.00"	"41,335.00"	"39,565.00"	4.18K	0.72%
2021年6月16日	"38,565.00"	"40,025.00"	"40,480.00"	"38,270.00"	6.33K	-3.58%
2021年6月17日	"37,665.00"	"38,550.00"	"39,535.00"	"37,315.00"	5.65K	-2.33%
2021年6月18日	"35,285.00"	"37,695.00"	"38,175.00"	"35,100.00"	5.72K	-6.32%
2021年6月20日	"35,592.50"	"35,400.00"	"36,000.00"	"35,240.00"	-	0.87%
2021年6月21日	"32,560.00"	"35,555.00"	"35,790.00"	"31,715.00"	9.30K	-8.52%
2021年6月22日	"32,480.00"	"31,700.00"	"33,310.00"	"28,800.00"	14.89K	-0.25%
2021年6月23日	"32,900.00"	"32,560.00"	"34,835.00"	"31,780.00"	7.18K	1.29%
2021年6月24日	"34,805.00"	"33,220.00"	"35,245.00"	"32,330.00"	6.21K	5.79%
2021年6月25日	"33,079.40"	"34,700.00"	"35,300.00"	"32,630.00"	0.54K	-4.96%
2021年6月27日	"34,725.00"	"32,000.00"	"34,777.50"	"32,000.00"	-	4.97%
2021年6月28日	"34,525.00"	"32,775.00"	"35,325.00"	"32,750.00"	5.52K	-0.58%
2021年6月29日	"36,430.00"	"34,680.00"	"36,650.00"	"34,200.00"	4.84K	5.52%
2021年6月30日	"34,725.00"	"36,215.00"	"36,215.00"	"34,020.00"	3.88K	-4.68%
2021年7月1日	"33,030.00"	"34,765.00"	"35,185.00"	"32,695.00"	4.61K	-4.88%
2021年7月2日	"33,285.00"	"33,460.00"	"33,995.00"	"32,620.00"	3.49K	0.77%
2021年7月4日	"35,335.00"	"35,800.00"	"35,955.00"	"35,227.50"	-	6.16%
2021年7月5日	"33,805.00"	"35,335.00"	"35,335.00"	"33,312.50"	-	-4.33%
2021年7月6日	"33,975.00"	"35,800.00"	"35,955.00"	"33,315.00"	7.00K	0.50%
2021年7月7日	"34,700.00"	"33,800.00"	"35,140.00"	"33,675.00"	3.87K	2.13%
